INPUT:diff1	INPUT:diff2	INPUT:query1	INPUT:query2	OUTPUT:result	CONFIDENCE:result
kiron	kyron	vivitar kiron	vivitar kyron	no	99.35%
gelaxy	galaxy	samsung gelaxy s3	samsung galaxy s3	yes	99.98%
givechy	givenchy	givechy	givenchy	yes	99.19%
forest	forester	forest	forester	no	99.99%
аммортизатор	амортизатор	аммортизатор марк 2	амортизатор марк 2	yes	99.99%
are	air	are	air	no	99.33%
алюминивый	алюминиевый	купить отбойник алюминивый	купить отбойник алюминиевый	yes	99.99%
nyx	max	nyx тени для бровей	max тени для бровей	yes	91.89%
антена	антенна	gps антена для опель инсигния	gps антенна для опель инсигния	yes	82.50%
тверь	двери	автоподбор тверь	автоподбор двери	no	79.13%
асос	насос	асос 43	насос 43	no	60.92%
gusty	gusti	gusty густи демисезонный	gusti густи демисезонный	yes	99.48%
анна	ванна	анна шмидт	ванна шмидт	no	95.10%
бензо	бензин	бензо компрессор	бензин компрессор	no	99.95%
айвон	айфон	айвон 10	айфон 10	yes	99.65%
sooner	sonner	sooner	sonner	yes	79.42%
ланос	насос	амортизатор передний ланос	амортизатор передний насос	no	93.54%
lauder	lauren	estee lauder breeze	estee lauren breeze	no	99.80%
шиншила	шиншиллу	белая шиншила	белая шиншиллу	yes	66.60%
муссо	мусор	бампер ссанг енг муссо	бампер ссанг енг мусор	no	99.73%
storm	sport	nel storm ace	nel sport ace	no	57.90%
акумуляторный	аккумуляторный	акумуляторный прекуриватель куплю	аккумуляторный прекуриватель куплю	yes	98.52%
bosh	bosch	bosh gsr 120-li	bosch gsr 120-li	yes	85.59%
рал	рад	акриловые краски рал	акриловые краски рад	no	98.91%
sonik	sonic	sonik wing	sonic wing	yes	55.37%
disel	diesel	opel corsa d disel	opel corsa d diesel	yes	99.19%
tuareg	touareg	диски на volkswagen tuareg r18	диски на volkswagen touareg r18	yes	91.05%
летные	летний	летные колесы на прадо	летний колесы на прадо	no	99.33%
penza	venza	airpodes penza	airpodes venza	no	99.98%
inmotion	motion	inmotion v5f	motion v5f	no	68.94%
акп	акб	toyota land cruiser prado престиж 2 8d акп 2018	toyota land cruiser prado престиж 2 8d акб 2018	no	99.99%
крассовки	кросовки	nike крассовки женские	nike кросовки женские	yes	99.99%
appel	apple	appel 5s	apple 5s	yes	99.99%
нерабочий	рабочий	ps4 нерабочий	ps4 рабочий	no	84.98%
ryazan	ryzen	ryazan	ryzen	no	95.71%
topping	touring	topping d10	touring d10	no	99.95%
cine	line	samyang cine	samyang line	yes	58.58%
маслянный	масляный	yamaha фильтр маслянный	yamaha фильтр масляный	yes	97.69%
вэйпа	вейп	аккумулятор для вэйпа	аккумулятор для вейп	no	91.70%
reg	red	16gb ddr3 reg	16gb ddr3 red	no	98.92%
kind	king	kind усилитель	king усилитель	no	99.01%
cause	case	just cause 3 xbox 360	just case 3 xbox 360	no	58.57%
ieeco	leeco	ieeco	leeco	yes	91.96%
бомбер	бампер	бомбер женский оригинал	бампер женский оригинал	no	99.99%
nivada	nevada	nivada	nevada	yes	57.44%
бин	бен	бин бузл	бен бузл	no	67.05%
cats	cat	cats white	cat white	yes	51.27%
ybr	cbr	бак yamaha ybr 125	бак yamaha cbr 125	yes	99.58%
хендэ	хендай	бампер хендэ h1	бампер хендай h1	yes	99.99%
shark	smart	paul shark	paul smart	yes	97.64%
парога	пороги	накладка парога bmw 4	накладка пороги bmw 4	no	67.33%
зафира	защита	205 55 16 опель зафира	205 55 16 опель защита	yes	81.67%
steals	stels	steals десна	stels десна	no	57.00%
бартер	бампер	бартер на прицеп рефрижератор	бампер на прицеп рефрижератор	no	97.51%
soni	sony	soni vito	sony vito	yes	96.93%
мотрас	матрас	askona cosmos мотрас	askona cosmos матрас	yes	99.98%
автобот	автобокс	автобот	автобокс	no	99.99%
rome	romeo	rome vice	romeo vice	no	95.95%
war	air	ps4 got of war	ps4 got of air	no	99.98%
бадлон	баллон	бадлон новый водолазка	баллон новый водолазка	yes	94.41%
супорт	суппорт	ауди супорт задний	ауди суппорт задний	yes	90.54%
прадаю	продаж	samsung galaxy прадаю	samsung galaxy продаж	no	99.87%
gjhju	порог	gjhju gkfcnbrjdsq impreza	порог gkfcnbrjdsq impreza	yes	96.37%
cosy	cosi	адаптер для maxi cosy	адаптер для maxi cosi	yes	97.05%
банктона	банкнота	банктона 100 рублей	банкнота 100 рублей	yes	99.99%
volta	delta	volta m-15 a	delta m-15 a	no	87.06%
беломорск	белогорск	беломорск	белогорск	no	99.79%
безпроводная	беспроводная	безпроводная зарядка fast	беспроводная зарядка fast	yes	97.78%
premier	premium	jeune premier	jeune premium	no	66.02%
speedo	speed	speedo fastskin	speed fastskin	no	99.08%
ipone	iphone	ipone 7 8	iphone 7 8	yes	99.98%
акумуляторы	аккумулятор	акумуляторы komatsu	аккумулятор komatsu	yes	53.00%
платок	пластик	нисподщий платок	нисподщий пластик	no	99.71%
керпич	кирпича	блок керпич	блок кирпича	yes	92.70%
solar	solaris	doosan solar	doosan solaris	yes	52.10%
бело-	белое	бело-черная шуба норка	белое черная шуба норка	no	99.43%
zone	sony	comfort zone	comfort sony	no	90.05%
кот	год	бенгальский кот	бенгальский год	no	99.92%
tiko	tico	devo tiko	devo tico	no	67.61%
банера	фанера	банера б у	фанера б у	no	99.99%
rois	rohs	rois	rohs	no	95.53%
xtream	xtreme	xtream gusti	xtreme gusti	no	90.64%
shape	shop	3d shape	3d shop	no	99.18%
богажная	багажная	богажная сумка	багажная сумка	yes	91.12%
avto	avito	avto trade	avito trade	no	97.15%
борисова	бориса	борисова 40	бориса 40	no	94.30%
care	zara	care тейп	zara тейп	no	99.99%
аккамулятор	аккумуляторе	xiaomi аккамулятор	xiaomi аккумуляторе	yes	100.00%
usm	usb	canon ef 70-200mm f 2 8 is ii usm	canon ef 70-200mm f 2 8 is ii usb	no	51.72%
подйомник	подъемник	авто подйомник	авто подъемник	yes	99.96%
аккамулятор	аккумулятора	аккамулятор ваз	аккумулятора ваз	no	75.14%
amazefit	amazfit	amazefit	amazfit	yes	90.53%
текс	текст	аква текс и пинотекс фасадные	аква текст и пинотекс фасадные	no	86.41%
vjnjhbcn	моторист	vjnjhbcn	моторист	yes	99.98%
tdi	audi	набор фиксаторов валов vag 2 0l tdi	набор фиксаторов валов vag 2 0l audi	no	98.98%
abc	abs	автомобильное кресло abc design	автомобильное кресло abs design	yes	55.16%
valeo	volvo	valeo led	volvo led	yes	93.39%
hyndai	hyundai	hyndai coupe телевизор	hyundai coupe телевизор	yes	99.99%
рок	реки	cd диски русский рок	cd диски русский реки	no	98.20%
pull	polo	pull up	polo up	no	99.75%
x-box	xbox	x-box 360 e	xbox 360 e	yes	59.17%
spiningline	spinningline	spiningline	spinningline	yes	99.26%
уселитель	утеплитель	w213 уселитель	w213 утеплитель	yes	93.01%
vepsrfyn	музыкант	vepsrfyn	музыкант	yes	99.10%
салярис	солярис	балка салярис	балка солярис	yes	99.99%
fitch	watch	abercrombie s fitch	abercrombie s watch	no	71.17%
бизне	бизнес	бизне	бизнес	yes	99.33%
дет	детей	12 дет	12 детей	yes	98.02%
плата	платье	moto x play материнская плата	moto x play материнская платье	no	99.82%
code	core	cash code	cash core	no	92.74%
cистемный	системный	cистемный блок	системный блок	yes	94.47%
yamaxa	yamaha	yamaxa пианино	yamaha пианино	yes	99.81%
grado	graco	grado sr325e	graco sr325e	no	56.04%
laser	lancer	laser stage	lancer stage	no	99.82%
раз	ваз	басаножки 40 раз	басаножки 40 ваз	no	99.65%
ear	air	in ear headphones	in air headphones	no	65.78%
onda	honda	onda evolution	honda evolution	no	77.95%
бюзгалтер	бюстгалтер	бонприкс бюзгалтер	бонприкс бюстгалтер	yes	99.97%
аллюминиевые	алюминиевое	аллюминиевые секции	алюминиевое секции	yes	56.17%
аккумлятор	аккумуляторы	аккумлятор для мотоцикла	аккумуляторы для мотоцикла	no	71.74%
dux	deux	dux 12	deux 12	no	98.87%
bmx	bmw	bmx stinger bat	bmw stinger bat	yes	78.36%
auc	aux	датчик auc bmw 740	датчик aux bmw 740	no	56.74%
xaomi	xiaomi	xaomi mi6	xiaomi mi6	yes	86.97%
focal	focus	focal 33	focus 33	no	78.91%
подон	поддон	подон масляный golf 4	поддон масляный golf 4	yes	99.93%
molo	polo	molo softshell	polo softshell	no	95.00%
автомабиль	автомобили	автомабиль жигули	автомобили жигули	yes	96.63%
побегом	пробегом	бмв 645 купе с побегом	бмв 645 купе с пробегом	yes	97.96%
mersedes	mercedes	vossen на mersedes	vossen на mercedes	yes	99.72%
mara	zara	max mara пуховик	max zara пуховик	no	95.63%
фанари	фонари	задние фанари спортейдж 4	задние фонари спортейдж 4	yes	97.90%
acoustik	acoustics	power acoustik	power acoustics	yes	97.09%
crisler	chrysler	crisler pt	chrysler pt	yes	99.99%
watcg	watch	apple watcg	apple watch	yes	99.34%
yto	yota	yto трактор	yota трактор	no	94.50%
sumsung	samsung	sumsung s3	samsung s3	yes	98.48%
купюр	куплю	альбом монет и купюр к чемпионату	альбом монет и куплю к чемпионату	no	99.48%
abritus	abrites	abritus	abrites	no	90.83%
kenwod	kenwood	kenwod ls-880	kenwood ls-880	yes	96.31%
skott	shot	skott велосипед	shot велосипед	no	69.61%
сглаза	глаз	браслет от сглаза	браслет от глаз	no	99.98%
riki	riko	riki bruno	riko bruno	yes	99.99%
tdl	tgl	tdl studio	tgl studio	no	88.94%
str	star	subini str	subini star	yes	93.73%
хэчбек	хетчбек	toyota corolla хэчбек	toyota corolla хетчбек	yes	99.85%
голицино	голицыно	арх голицино	арх голицыно	yes	65.41%
марта	карта	8 марта 17	8 карта 17	no	99.99%
cold	gold	cold steel	gold steel	no	97.74%
mori	more	mori mori girl	more more girl	yes	97.60%
фанарь	фонари	audi a6 c7 фанарь	audi a6 c7 фонари	yes	64.59%
парта	плита	nanotec парта	nanotec плита	yes	85.69%
док	диск	lenovo thinkpad док станция	lenovo thinkpad диск станция	yes	70.92%
стоп	стол	w463 стоп	w463 стол	no	96.97%
macro	micro	canon ef macro	canon ef micro	no	78.03%
babylon	babyton	babylon	babyton	no	99.60%
samsyng	samsung	samsyng gelaxy k zoom	samsung gelaxy k zoom	yes	96.46%
boats	boots	baltic boats 380	baltic boots 380	yes	95.59%
mishelin	michelin	mishelin agilis	michelin agilis	yes	97.19%
компютера	компьютера	акустика для компютера	акустика для компьютера	yes	99.99%
xtrail	x-trail	nissan xtrail стекло лобовое	nissan x-trail стекло лобовое	yes	89.21%
sub	usb	rcf sub	rcf usb	no	76.61%
asic	asus	asic miner usb	asus miner usb	yes	94.90%
late	lite	macbook pro 13 late	macbook pro 13 lite	yes	99.94%
нарашивание	наращивания	аренда кабинета нарашивание ресниц	аренда кабинета наращивания ресниц	yes	99.33%
шевралет	шевроле	авто шевралет авео	авто шевроле авео	yes	99.98%
merseders	mercedes	merseders benz e 190	mercedes benz e 190	yes	99.88%
inna	ina	inna taxi краснодар	ina taxi краснодар	no	99.99%
sansung	samsung	sansung galaxy s9	samsung galaxy s9	yes	87.86%
принцеса	принцесса	барби принцеса	барби принцесса	yes	97.96%
porshe	porsche	porshe caenne	porsche caenne	yes	99.94%
xiomi	xiaomi	xiomi mi 2	xiaomi mi 2	yes	99.25%
jeta	jetta	jeta	jetta	yes	99.45%
аав	ааа	vw t4 двигатель аав	vw t4 двигатель ааа	no	99.98%
плата	платья	p5100 материнская плата	p5100 материнская платья	no	99.14%
hts	htc	hts wildfire	htc wildfire	yes	97.96%
gelaxy	galaxy	gelaxy j5	galaxy j5	yes	83.05%
потдон	поддоны	c20ne потдон	c20ne поддоны	yes	99.26%
solo	polo	beats solo hd	beats polo hd	no	99.52%
аккамулятор	аккумуляторы	аккамулятор ящик рено	аккумуляторы ящик рено	no	89.74%
rent	rant	rent a flat	rant a flat	no	89.21%
lady	lada	paco rabanne lady million тестер	paco rabanne lada million тестер	no	99.84%
lebek	weber	lebek	weber	no	99.97%
аккамулятор	аккумулятор	аккамулятор для автомобиля	аккумулятор для автомобиля	yes	99.92%
пожарная	кожаная	scania пожарная	scania кожаная	no	98.62%
benifit	benefit	ark benifit m502 аккамулятор	ark benefit m502 аккамулятор	yes	97.33%
nyx	max	nyx стик	max стик	yes	69.56%
cherry	chery	dior cherry	dior chery	no	99.99%
бра	пара	бра 3 свечи	пара 3 свечи	no	93.88%
scott	sport	scott scale рама	sport scale рама	yes	76.56%
mono	mini	dior mono	dior mini	no	74.97%
koup	coupe	бампер kia cerato koup	бампер kia cerato coupe	yes	92.85%
bocsh	bosch	bocsh утюг	bosch утюг	yes	99.84%
btc	htc	h81 pro btc asrock 1150	h81 pro htc asrock 1150	no	83.27%
вариатор	радиатор	audi a4b8 вариатор	audi a4b8 радиатор	yes	92.50%
isi	iso	stokke isi go	stokke iso go	no	98.55%
choei	shoei	choei	shoei	yes	82.59%
cdrom	cd-rom	ide cdrom	ide cd-rom	yes	99.99%
selfrige	selfridge	miss selfrige	miss selfridge	yes	98.61%
аммортизаторы	амортизаторы	аммортизаторы задние мазда	амортизаторы задние мазда	yes	99.75%
toyo	toyota	toyo 215 65 r16	toyota 215 65 r16	yes	97.81%
магнитолла	магнитол	2 din магнитолла для пежо	2 din магнитол для пежо	no	99.91%
citroën	citroen	citroën ds	citroen ds	yes	93.92%
laser	lancer	hp laser jet 1006	hp lancer jet 1006	yes	89.85%
alpinstars	alpinestars	alpinstars	alpinestars	yes	68.32%
raser	racer	raser	racer	yes	96.07%
басик	баса	басик и ли ли	баса и ли ли	no	88.31%
бомбер	бампер	бомбер black star	бампер black star	no	98.94%
wiena	weina	wiena	weina	no	90.63%
baw	bmw	baw реф	bmw реф	yes	94.06%
стеклоподьемник	стеклоподъемник	w140 стеклоподьемник	w140 стеклоподъемник	yes	97.84%
bmx	bmw	bmx в новосибирски	bmw в новосибирски	no	98.51%
вольксваген	фольксваген	автомагнитола для вольксваген тигуан	автомагнитола для фольксваген тигуан	yes	99.87%
pod	ipod	running dynamics pod	running dynamics ipod	yes	99.28%
mister	mystery	mister yi	mystery yi	yes	98.31%
безопастности	безопасности	range rover sport 2013-подушка безопастности	range rover sport 2013-подушка безопасности	yes	96.91%
tuareg	touareg	акпп tuareg bhk	акпп touareg bhk	yes	53.49%
sprit	spirit	sprit	spirit	no	92.62%
prodipe	prodigy	prodipe	prodigy	yes	83.39%
celluar	cellular	ipad pro 12 9 celluar	ipad pro 12 9 cellular	yes	94.04%
металич	металл	nokia 8800 в металич	nokia 8800 в металл	yes	63.23%
автоподьемники	автоподъемник	автоподьемники	автоподъемник	yes	99.98%
ttx	ttr	ohlins ttx	ohlins ttr	no	99.60%
матрикс	матрица	бачок стеклоомывателя на тойота матрикс	бачок стеклоомывателя на тойота матрица	no	99.99%
робот	работу	r2 робот	r2 работу	no	99.93%
kamry	camry	kamry v40	camry v40	yes	99.99%
стафордширский	стаффордширский	американский стафордширский терьер	американский стаффордширский терьер	yes	99.94%
polk	polo	polk momo	polo momo	yes	58.48%
mersedes	mercedes	mersedes 600	mercedes 600	yes	98.37%
акумулятори	акумулятор	балгарка на акумулятори	балгарка на акумулятор	yes	91.93%
kay	kia	mary kay кейс	mary kia кейс	no	99.49%
автоподачик	автоподатчик	автоподачик	автоподатчик	yes	91.05%
апарат	аппарату	апарат для шаурмы б у	аппарату для шаурмы б у	no	60.02%
baas	bass	baas	bass	no	58.98%
hagies	huggies	hagies	huggies	yes	75.15%
evyst	умные	evyst xfcs	умные xfcs	yes	97.70%
bose	bosch	bose 13	bosch 13	yes	80.71%
nex	max	canon nex	canon max	no	99.91%
siricco	sirocco	campagnolo siricco	campagnolo sirocco	yes	99.63%
hundai	hyundai	hundai 210	hyundai 210	yes	92.68%
бра	пара	бра 1000	пара 1000	no	97.47%
sumsung	samsung	sumsung s	samsung s	yes	99.89%
компресор	компрессор	атлас копко компресор	атлас копко компрессор	yes	99.53%
облости	область	аренда дома в облости	аренда дома в область	yes	99.57%
-аккумулятор	аккумулятор	man автобус-аккумулятор-масло-колеса-шины-сидения-рессора-adblue-сиденье-тахограф-глонас	man автобус аккумулятор-масло-колеса-шины-сидения-рессора-adblue-сиденье-тахограф-глонас	yes	94.35%
merseders	mercedes	merseders cla	mercedes cla	yes	99.66%
lee	led	lee eco	led eco	yes	95.47%
рессивер	ресивера	рессивер для компрессора куб	ресивера для компрессора куб	yes	99.99%
кольцевик	кольцевая	5 копеек 1802 кольцевик	5 копеек 1802 кольцевая	no	99.31%
pasolini	pazolini	carlo pasolini балетки	carlo pazolini балетки	yes	98.61%
ymaha	yamaha	ymaha vx 1100	yamaha vx 1100	yes	99.98%
fod	ford	fod 7005	ford 7005	no	98.93%
айпед	айпод	айпед эйр 2	айпод эйр 2	no	71.86%
ykohama	yokohama	ykohama 265 50 20	yokohama 265 50 20	no	61.13%
savero	sandero	savero 245 70 16	sandero 245 70 16	no	89.21%
bosh	bosch	bosh плата	bosch плата	yes	53.96%
kona	sony	kona двухподвес	sony двухподвес	no	97.71%
römer	romer	romer britax römer kidfix ii xp sict	romer britax romer kidfix ii xp sict	no	92.64%
bod	body	petzl navaho bod croll fast	petzl navaho body croll fast	yes	75.21%
xone	one	xone	one	no	66.97%
яблоко	блоки	адамово яблоко маклюра	адамово блоки маклюра	no	98.96%
higscreen	highscreen	higscreen boost 3 se	highscreen boost 3 se	yes	99.86%
busch	bosch	busch müller	bosch müller	yes	86.92%
акомулятор	аккамулятор	акомулятор для мопеда	аккамулятор для мопеда	no	95.56%
бра	пара	бра хрусталь	пара хрусталь	no	99.44%
есенина	ленина	автограф есенина	автограф ленина	no	99.29%
netbook	notebook	netbook lenovo	notebook lenovo	yes	99.97%
бетонамешалка	бетономешалку	бетонамешалка бу	бетономешалку бу	yes	86.64%
wolksvagen	volkswagen	bluetooth wolksvagen	bluetooth volkswagen	yes	87.86%
кей	кейс	ароматы мери кей	ароматы мери кейс	no	77.35%
риб	гриб	алюминевый риб 410	алюминевый гриб 410	yes	89.38%
aqua	asus	bvlgari aqua pour homme	bvlgari asus pour homme	no	54.95%
audia	audio	biamp audia	biamp audio	yes	79.35%
gropp	cropp	gropp	cropp	yes	69.00%
картины	квартиры	большое картины	большое квартиры	no	99.99%
абонимент	абонемент	абонимент ворлд класс	абонемент ворлд класс	yes	99.59%
kanter	canter	kanter	canter	no	99.86%
rxf	rcf	rxf	rcf	no	87.94%
use	usa	use of english	usa of english	yes	68.02%
театр	центр	билеты в театр кукол	билеты в центр кукол	no	99.95%
кожанные	кожаные	балетки итальянские кожанные	балетки итальянские кожаные	yes	99.66%
моховик	маховика	ауди моховик	ауди маховика	no	76.14%
каролла	королла	бачок омывателя каролла 180	бачок омывателя королла 180	yes	88.25%
кожанный	кожаные	ipad mini кожанный чехол	ipad mini кожаные чехол	no	97.07%
henium	xenium	philips henium w6500	philips xenium w6500	yes	99.99%
суворово	суворова	армянск суворово батова	армянск суворова батова	no	99.61%
rem	ram	rem 25 b	ram 25 b	no	97.50%
антены	антенн	антены радиостанций	антенн радиостанций	no	98.34%
pirreli	pirelli	pirreli diablo superbike	pirelli diablo superbike	yes	98.73%
честер	мастер	8 марта честер	8 марта мастер	yes	87.77%
значки	замки	большая коллекция советские значки	большая коллекция советские замки	no	94.14%
kla	kia	kla	kia	no	95.71%
батуд	батуты	батуд	батуты	yes	99.86%
шевралет	шевроле	автомобил шевралет	автомобил шевроле	yes	90.43%
squier	super	fender squier стратокастер	fender super стратокастер	no	79.32%
merseders	mercedes	merseders 6x4	mercedes 6x4	yes	99.97%
балансировачный	балансировочный	балансировачный станок	балансировочный станок	yes	99.95%
ато	атол	ато	атол	yes	72.11%
ровер	номер	r21 рендж ровер спорт	r21 рендж номер спорт	no	99.99%
калитва	калитка	бело калитва	бело калитка	yes	50.49%
spaces	space	tag heuer spaces x	tag heuer space x	no	53.35%
s-класс	класс	mercedes-benz s-класс 2007 белый	mercedes-benz класс 2007 белый	no	94.33%
gelaxy	galaxy	samsung gelaxy 9	samsung galaxy 9	yes	99.23%
двиготель	двигателя	opel astra h двиготель	opel astra h двигателя	no	56.77%
решотка	решетки	b7 решотка	b7 решетки	yes	97.91%
аксесуары	аксессуара	аксесуары на день рождения	аксессуара на день рождения	yes	99.99%
skils	skills	skils	skills	yes	99.77%
care	zara	care apple	zara apple	no	58.52%
nights	night	five nights at freddy s	five night at freddy s	no	98.67%
soket	socket	939 soket	939 socket	yes	88.89%
x-box	xbox	x-box 360 fifa 18	xbox 360 fifa 18	no	74.19%
mate	note	huawei mate 9	huawei note 9	yes	94.26%
secura	secure	steitz secura	steitz secure	no	99.86%
rex	red	tetra rex	tetra red	no	91.41%
апарат	аппарата	апарат педикюрный	аппарата педикюрный	yes	99.91%
ixus	asus	ixus 230	asus 230	no	99.80%
алигатор	аллигатор	алигатор обувь	аллигатор обувь	yes	95.59%
домик	домов	детская горка домик б у	детская горка домов б у	no	93.38%
bmx	bmw	баренды bmx	баренды bmw	no	99.99%
bmx	bmw	bmx воронеж	bmw воронеж	no	97.94%
storm	sport	life is strange before the storm	life is strange before the sport	yes	72.84%
men	new	mini men	mini new	no	99.96%
подшибник	подшипника	mitsubishi подшибник	mitsubishi подшипника	no	76.93%
тото	мото	бирка от тото	бирка от мото	no	99.80%
pas	pad	pas для электровелосипеда	pad для электровелосипеда	no	77.57%
бамбер	бомбер	бамбер	бомбер	no	92.31%
кросовки	кроссовки	белые кросовки найк	белые кроссовки найк	yes	94.51%
sunny	sony	sunny airbag	sony airbag	no	65.81%
volksvagen	volkswagen	volksvagen jetta	volkswagen jetta	yes	99.29%
аккумуляторный	аккумуляторы	аккумуляторный фонарик ссср	аккумуляторы фонарик ссср	no	99.60%
алтайск	алтайский	алтайск	алтайский	no	96.75%
cherry	chery	cherry клавиатура	chery клавиатура	no	97.17%
дверный	дверей	2-х дверный шкаф купе	2-х дверей шкаф купе	no	99.93%
балгарка	болгарка	балгарка новая	болгарка новая	yes	97.60%
котеджа	коттеджа	аренда квартиры котеджа	аренда квартиры коттеджа	yes	98.73%
ltncrfz	детская	rhjdfnm ltncrfz	rhjdfnm детская	yes	73.63%
матиз	машин	акумулятор на деу матиз	акумулятор на деу машин	no	99.49%
usm	usb	canon efs 17-55mm f 2 8 is usm	canon efs 17-55mm f 2 8 is usb	no	99.66%
ока	киа	авто разбор ока	авто разбор киа	no	55.01%
akai	kia	mpk akai	mpk kia	no	95.98%
банера	фанера	банера	фанера	yes	95.68%
hundai	hyundai	hundai solaris петли капота	hyundai solaris петли капота	yes	99.39%
hyndai	hyundai	hyndai рефрижератор	hyundai рефрижератор	yes	99.94%
hokian	nokian	hokian hakka blue 2	nokian hakka blue 2	yes	99.98%
ровер	номер	электро пороги на рэндж ровер вог	электро пороги на рэндж номер вог	yes	96.96%
приморск	приморское	аренда квартиры в лен области город приморск	аренда квартиры в лен области город приморское	no	99.87%
вата	авто	zippo вата	zippo авто	no	99.99%
toyoya	toyota	toyoya crown 1989	toyota crown 1989	yes	99.99%
бениновый	бензиновый	бениновый генератор	бензиновый генератор	yes	99.99%
cod	code	cod ww 2 ps4	code ww 2 ps4	yes	92.61%
sps	srs	sven sps 721	sven srs 721	yes	59.84%
gylliver	gulliver	gylliver	gulliver	yes	99.88%
аккамулятор	аккумулятор	аккамулятор на детский мотоцикл	аккумулятор на детский мотоцикл	yes	88.06%
mone	one	блузки для девочки mone	блузки для девочки one	no	99.93%
про	евро	7 про	7 евро	no	99.32%
cic	ice	cic ccc nbt bmw 1 серии e87	ice ccc nbt bmw 1 серии e87	no	87.17%
родной	одной	volvo родной пробег	volvo одной пробег	no	94.14%
плата	платье	a3 2016 плата	a3 2016 платье	no	99.85%
плата	платье	5s плата	5s платье	no	99.84%
плата	платье	i5 6400 материнская плата	i5 6400 материнская платье	no	98.51%
hdr	hdd	sony hdr 810	sony hdd 810	no	95.31%
vio	vaio	sony vio	sony vaio	yes	99.52%
кот	год	бенгальский кот вязка	бенгальский год вязка	no	99.99%
lpj	lpg	gibson lpj	gibson lpg	no	99.95%
гроб	короб	брелок гроб	брелок короб	no	86.74%
sybex	siber	sybex priam	siber priam	yes	99.95%
афон	айфоны	афон 4	айфоны 4	yes	76.69%
аккамулятор	аккумуляторы	аккамулятор lg k 10	аккумуляторы lg k 10	yes	70.10%
коп	кпп	10 коп 1946	10 кпп 1946	no	99.80%
toyo	toyota	toyo 285 50 20	toyota 285 50 20	no	99.96%
aero	air	babolat pure aero	babolat pure air	no	99.83%
iec	ice	oyaide iec	oyaide ice	no	63.00%
cic	ice	bmw professional cic f30	bmw professional ice f30	yes	67.58%
сиден	сидение	бмв х5 сиден	бмв х5 сидение	no	99.96%
shmitz	schmitz	shmitz документы	schmitz документы	yes	79.90%
моторной	мотором	аренда моторной яхты	аренда мотором яхты	no	99.87%
terre	terex	hermes terre оригинал	hermes terex оригинал	yes	82.96%
playtation	playstation	playtation 4	playstation 4	yes	95.03%
akai	kia	akai ewi	kia ewi	no	99.98%
fend	fendi	erich fend	erich fendi	no	94.73%
